PostCommentID,Post Created-Time,Post Keyword,Post Message,Post Attachment,Comment Created-Time,Comment UserName,Comment UserID,Comment Message
121580125458_10158406289000459_10158406346550459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T08:45:58+0000,Timon Philip Nissen,1925574181059861_,Wem interessiert es?
121580125458_10158406289000459_10158406393360459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T08:50:59+0000,Claudine Hamerick,10206740338905858_,25% der minderjährigen Flüchtlinge waren gar nicht unter 18 ? Ich bin schockiert !
121580125458_10158406289000459_10158406437270459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T08:51:54+0000,Andreas Malzahn,1518984634784616_,"Die sind schon mal untergetaucht. Wo immer es Kohle gibt wird man sie finden. Wenn man will... Sollten deren Anträge abgelehnt werden, muß man sie erstmal wiederfinden. Wird schwer..."
121580125458_10158406289000459_10158406462435459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T09:02:35+0000,Danijel Ramic,1753744784949524_,Die sind nicht verschwunden...Die sind nur woanders
121580125458_10158406289000459_10158406496245459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T09:17:24+0000,Matze SH,1298597073545232_,"Deutschland ist einfach zu gut für diese Welt. Die Ausmaße wird man früher oder später merken.Wo man nicht Geld bekommen wird,wird man sich holen. Die Kriminalität wird steigen. Die Regierung schläft und schläft....Dann mal Gute Nacht!!!"
121580125458_10158406289000459_10158406531040459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T09:34:52+0000,Reinhard Rybicki,243222586153328_,"Aus sicheren Drittstaaten kommen keine ""Flüchtlinge""!"
121580125458_10158406289000459_10158406547125459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T09:41:36+0000,Miekesch Nice,1271440729569565_,Verschwunden gefällt mir ? Weiter gezogen in die nächste Großstadt trifft es wohl eher...Sarkasmus aus...
121580125458_10158406289000459_10158406575055459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T09:55:49+0000,Biggi Vera Floeter,1320523181353090_,"vielleicht haben sie sich mit anderen Namen angemeldet, ""Amri"" hatte 13 Identitäten."
121580125458_10158406289000459_10158406581420459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T09:58:52+0000,Finn Le,10208107529834710_,Sind in anderen Städten doppelt und dreifach abkassieren ??
121580125458_10158406289000459_10158406608885459,2017-04-11T08:19:12+0000,"Flüchtling,Asyl",Die meisten stammten aus Afghanistan ? 2016 waren 959 minderjährige Asylbewerber in staatlicher Obhut.,Hamburg: 287 junge Flüchtlinge verschwunden,2017-04-11T10:11:25+0000,Klaus Popp,10205987065075144_,Da sieht man wieder die Ohnmacht unserer dummen Behörden !
